AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-0.28,9.63,0.06,-0.0,0.01,0.03
-0.33,9.61,-0.1,-0.02,-0.09,0.02
-0.44,9.59,-0.19,-0.12,-0.07,0.04
-0.4,9.65,0.09,-0.01,0.01,0.03
-0.35,9.62,0.07,-0.01,0.0,0.02
-0.32,9.59,0.06,-0.01,0.01,0.03
-0.33,9.69,0.05,-0.01,0.01,0.02
-0.39,9.65,0.09,-0.01,0.01,0.02
-0.33,9.57,0.04,-0.02,0.01,0.03
-0.31,9.68,0.09,-0.01,0.0,0.02
-0.33,9.59,0.01,-0.0,0.01,0.02
-0.31,9.58,0.11,-0.01,0.01,0.03
-0.3,9.7,0.11,-0.03,0.01,0.02
-0.37,9.59,0.11,-0.0,0.01,0.02
-0.32,9.62,0.15,-0.01,0.01,0.03
-0.34,9.59,0.09,-0.02,0.01,0.03
-0.32,9.64,0.09,-0.02,0.0,0.03
-0.36,9.62,0.12,-0.01,0.0,0.03
-0.25,9.66,0.12,-0.01,0.0,0.02
-0.34,9.57,0.09,-0.01,0.0,0.03
-0.32,9.6,0.05,-0.01,0.0,0.02
-0.31,9.58,0.06,-0.01,0.01,0.02
-0.29,9.62,0.13,-0.01,0.01,0.02
-0.36,9.6,0.12,-0.01,0.01,0.02
-0.34,9.58,0.1,-0.01,0.01,0.03
-0.33,9.59,0.08,-0.01,0.01,0.02
-0.32,9.61,0.01,-0.01,0.0,0.03
-0.36,9.61,0.08,-0.01,0.0,0.02
-0.33,9.67,0.11,-0.01,0.01,0.01
-0.34,9.58,0.07,-0.01,0.01,0.03
-0.34,9.53,0.06,-0.01,0.01,0.02
-0.33,9.63,0.13,-0.01,0.01,0.03
-0.29,9.65,0.1,-0.02,0.01,0.03
-0.33,9.61,0.14,-0.01,0.0,0.03
-0.28,9.63,0.1,-0.02,0.01,0.02
-0.85,11.08,-0.01,0.0,0.01,0.01
-0.4,9.92,0.07,0.0,0.01,0.02
-0.31,9.63,0.12,-0.02,0.01,0.03
-0.32,9.62,0.07,-0.01,0.0,0.03
-0.3,9.61,0.03,-0.01,0.01,0.03
-0.34,9.69,0.1,-0.02,0.01,0.03
-0.39,9.61,0.08,-0.01,0.01,0.02
-0.3,9.62,0.11,-0.01,0.01,0.02
-0.27,9.65,0.09,-0.02,0.0,0.02
-0.23,9.6,0.09,-0.01,0.01,0.02
-0.33,9.57,0.12,-0.01,0.01,0.02
-0.29,9.65,0.1,-0.02,0.01,0.03
-0.3,9.62,0.08,-0.01,0.01,0.01
-0.3,9.58,0.04,-0.01,0.01,0.02
-0.28,9.65,0.11,-0.01,0.0,0.03
-0.3,9.76,0.05,0.01,0.01,0.03
-0.31,9.62,0.1,-0.02,0.01,0.03
-0.34,9.61,0.08,-0.01,0.01,0.03
-0.33,9.61,0.04,-0.01,0.01,0.03
-0.34,9.64,0.15,-0.01,0.0,0.03
-0.34,9.42,0.12,-0.04,0.01,0.02
-0.3,9.71,0.12,-0.02,0.01,0.03
-0.34,9.65,0.12,-0.01,0.01,0.02
-0.34,9.57,0.08,-0.02,0.01,0.02
-0.34,9.61,0.04,-0.01,0.01,0.03
-0.27,9.6,0.07,-0.01,0.01,0.02
-0.29,9.63,0.02,-0.01,0.0,0.02
-0.29,9.64,0.22,-0.01,0.0,0.02
-0.35,9.61,0.16,-0.01,0.0,0.03
-0.3,9.62,0.14,-0.01,0.01,0.03
-0.28,9.57,0.16,-0.01,0.01,0.03
-0.35,9.16,0.11,-0.06,0.01,0.03
-0.37,9.46,0.09,-0.01,0.01,0.03
-0.31,9.68,0.12,-0.01,0.01,0.03
-0.37,9.61,0.1,-0.01,0.01,0.02
-0.34,9.64,0.13,-0.02,0.01,0.03
-0.34,9.86,-0.02,0.0,0.0,0.03
-0.34,9.67,0.08,-0.01,0.01,0.03
-0.24,9.61,0.07,-0.01,0.01,0.02
-0.3,9.6,0.06,-0.01,0.01,0.02
-0.32,9.63,0.12,-0.0,0.01,0.03
-0.35,9.61,0.11,-0.01,0.0,0.02
-0.35,9.62,0.09,-0.01,0.0,0.02
-0.32,9.57,0.05,-0.02,0.01,0.03
-0.3,9.62,0.1,-0.01,0.01,0.03
-0.34,9.61,0.1,-0.01,0.01,0.03
-0.34,9.49,0.11,-0.02,0.01,0.03
-0.34,9.73,0.02,-0.03,0.0,0.03
-0.34,9.62,0.07,0.0,0.01,0.02
-0.32,9.6,0.08,-0.03,0.01,0.02
-0.31,9.65,0.12,-0.0,0.02,0.02
-0.33,9.62,0.13,-0.0,0.01,0.02
-0.28,9.64,0.11,-0.03,0.0,0.02
-0.27,9.58,0.09,-0.01,0.01,0.03
-0.29,9.65,0.07,-0.01,0.01,0.02
-0.32,9.6,0.09,-0.01,0.01,0.02
-0.3,9.6,0.11,-0.01,0.01,0.03
-0.37,9.58,0.18,-0.0,0.01,0.02
-0.34,9.62,0.11,-0.01,0.01,0.03
-0.29,9.64,0.02,-0.01,0.01,0.02
-0.34,9.62,0.08,-0.01,0.01,0.02
-0.32,9.66,0.08,-0.01,0.01,0.03
-0.29,9.66,0.11,-0.01,0.01,0.03
-0.21,9.61,0.1,-0.02,0.01,0.02
-0.37,9.65,0.14,-0.01,0.01,0.03
-0.33,9.62,0.09,-0.01,0.0,0.02
-0.37,9.58,0.19,-0.01,0.01,0.03
-0.34,9.59,0.06,-0.01,0.01,0.03
-0.24,9.57,0.11,-0.01,-0.0,0.02
-0.31,9.64,0.05,-0.01,0.01,0.03
-0.28,9.62,0.09,-0.01,0.01,0.03
-0.36,9.59,0.1,-0.03,0.01,0.03
-0.38,9.65,0.11,-0.0,0.0,0.03
-0.3,9.56,0.15,-0.02,0.01,0.03
-0.15,9.81,0.14,-0.06,-0.2,0.01
-0.35,9.64,0.11,-0.01,0.01,0.03
-0.32,9.6,0.1,-0.01,0.01,0.02
-0.53,9.62,0.04,-0.04,0.47,0.03
-0.4,9.68,0.12,-0.02,0.01,0.03
-0.24,9.69,-0.1,-0.38,-0.0,-0.06
3.5,9.75,-0.98,-0.04,-0.07,0.01
0.54,9.39,1.59,-0.31,-0.5,-0.05
-0.64,9.52,0.48,0.19,1.27,-0.02
-0.56,9.62,-1.0,-0.2,0.64,0.06
0.4,9.69,-1.3,-0.03,1.48,0.04
-0.35,9.62,0.13,0.01,0.01,0.04
-1.11,9.56,-0.3,0.37,0.55,-0.04
-0.36,9.63,0.04,-0.02,0.01,0.03
0.7,9.62,0.31,0.16,0.28,-0.03
-0.57,9.62,-1.09,0.29,0.03,-0.02
-0.6,9.47,-1.65,0.26,0.61,-0.09
-0.57,9.65,-0.61,-0.04,0.43,-0.03
-0.61,9.53,-1.07,0.17,0.18,-0.01
-0.6,9.48,-1.6,0.27,0.04,0.02
-1.78,9.39,-2.03,-0.41,-1.02,0.19
-0.54,9.9,1.51,0.85,-0.8,1.71
0.86,9.57,0.0,0.45,0.24,1.46
3.01,9.2,-0.46,-0.25,-0.55,1.7
4.79,8.34,-0.14,0.02,0.09,1.92
5.75,7.8,-0.37,0.0,0.01,1.32
7.03,6.67,-0.27,0.19,0.08,1.59
8.33,5.08,0.03,0.31,0.27,1.79
8.99,3.59,0.52,-0.22,-0.23,1.59
10.01,-0.63,-0.35,-0.84,-0.05,2.41
9.47,0.19,-1.3,0.62,-0.6,-0.01
9.83,0.47,-0.06,-0.01,0.04,0.04
9.85,0.49,-0.21,-0.01,0.01,0.03
9.78,0.44,-0.21,-0.01,-0.0,0.03
9.89,0.49,-0.15,-0.01,0.01,0.03
9.89,0.49,-0.16,-0.02,0.02,0.02
9.82,0.47,-0.12,-0.02,0.01,0.03
9.84,0.49,-0.16,-0.01,0.01,0.02
9.78,0.51,-0.15,-0.01,0.01,0.03
9.93,0.52,-0.26,-0.01,0.01,0.03
9.83,0.51,-0.22,-0.02,-0.0,0.03
9.85,0.5,-0.12,-0.02,0.01,0.03
9.9,0.46,-0.22,-0.01,0.01,0.03
9.82,0.42,-0.19,-0.01,-0.0,0.03
9.84,0.51,-0.2,-0.01,0.02,0.03
9.87,0.52,-0.14,-0.0,0.01,0.03
9.85,0.6,-0.35,0.13,0.0,0.03
9.89,0.41,-0.14,-0.01,0.0,0.02
9.86,0.49,-0.16,-0.01,0.02,0.03
9.83,0.46,-0.15,-0.01,0.01,0.03
9.89,0.52,-0.17,-0.02,0.01,0.02
9.88,0.49,-0.19,-0.01,0.0,0.03
9.9,0.5,-0.18,-0.0,0.0,0.02
9.88,0.51,-0.2,-0.01,0.0,0.01
9.83,0.47,-0.12,-0.02,0.01,0.03
9.86,0.5,-0.17,-0.01,0.0,0.03
9.84,0.5,-0.19,-0.01,0.01,0.03
9.87,0.51,-0.12,-0.02,0.0,0.02
9.9,0.48,-0.12,-0.01,0.02,0.03
9.84,0.49,-0.13,-0.01,0.0,0.02
9.9,0.52,-0.23,-0.01,0.01,0.02
9.86,0.46,-0.22,-0.01,0.0,0.02
9.83,0.5,-0.13,-0.01,0.0,0.02
9.8,0.57,-0.12,-0.01,-0.0,0.02
9.9,0.49,-0.21,-0.01,0.01,0.02
9.9,0.51,-0.21,-0.02,0.01,0.03
9.84,0.47,-0.1,-0.02,0.02,0.03
9.88,0.51,-0.2,-0.01,-0.0,0.02
9.87,0.47,-0.07,-0.01,0.0,0.03
9.88,0.51,-0.19,-0.01,0.0,0.03
9.84,0.53,-0.15,-0.01,-0.01,0.02
9.84,0.5,-0.16,-0.01,0.01,0.02
9.84,0.51,-0.25,-0.01,0.01,0.02
9.88,0.5,-0.15,-0.01,0.01,0.02
9.79,0.47,-0.2,-0.01,-0.01,0.03
9.84,0.57,-0.18,-0.01,0.01,0.03
9.92,0.53,-0.2,-0.01,0.0,0.03
9.8,0.45,-0.15,-0.02,0.02,0.03
9.9,0.52,-0.13,-0.01,0.01,0.03
9.85,0.5,-0.17,-0.02,0.01,0.03
9.86,0.56,-0.23,-0.01,0.01,0.02
9.87,0.48,-0.19,-0.01,0.01,0.02
9.82,0.54,-0.21,-0.01,0.0,0.03
9.84,0.54,-0.19,-0.01,0.01,0.03
9.89,0.5,-0.14,-0.01,0.0,0.02
9.85,0.54,-0.22,-0.01,-0.0,0.02
9.83,0.58,-0.22,-0.01,0.04,0.04
9.81,0.51,-0.16,-0.01,0.01,0.02
9.84,0.49,-0.25,-0.01,0.01,0.03
9.84,0.49,-0.16,-0.01,-0.02,0.02
9.84,0.55,-0.14,-0.01,-0.01,0.01
9.85,0.51,-0.27,-0.01,0.0,0.02
9.84,0.47,-0.2,-0.01,0.01,0.03
9.86,0.57,-0.18,-0.01,0.01,0.03
9.9,0.51,-0.18,-0.01,0.0,0.02
9.87,0.46,-0.25,-0.02,0.01,0.03
9.93,0.5,-0.22,-0.01,0.01,0.02
9.87,0.47,-0.23,-0.01,0.01,0.02
9.88,0.51,-0.11,-0.01,0.01,0.02
9.9,0.46,-0.25,-0.01,0.01,0.03
9.84,0.46,-0.12,-0.02,0.01,0.02
9.85,0.48,-0.2,-0.01,0.01,0.02
9.83,0.49,-0.18,-0.02,0.0,0.03
9.83,0.54,-0.17,-0.01,0.01,0.02
9.87,0.53,-0.09,-0.01,0.0,0.02
9.88,0.56,-0.19,-0.01,0.01,0.03
9.85,0.52,-0.27,-0.02,0.02,0.02
9.82,0.55,-0.2,-0.01,0.01,0.03
9.87,0.51,-0.21,-0.01,0.01,0.02
9.84,0.57,-0.24,-0.01,0.02,0.02
9.85,0.53,-0.17,-0.01,0.01,0.03
9.9,0.54,-0.17,-0.01,0.01,0.02
9.84,0.57,-0.21,-0.01,0.01,0.03
9.84,0.5,-0.17,-0.01,-0.0,0.03
9.84,0.47,-0.17,-0.01,0.01,0.03
9.9,0.48,-0.16,-0.01,0.0,0.02
9.89,0.56,-0.14,-0.02,0.0,0.02
9.82,0.5,-0.18,-0.01,0.01,0.02
9.93,0.51,-0.2,-0.01,0.02,0.03
9.84,0.46,-0.22,-0.01,0.0,0.03
9.87,0.46,-0.14,-0.01,0.01,0.02
9.88,0.56,-0.16,-0.02,0.01,0.02
9.9,0.52,-0.12,-0.01,0.01,0.03
9.86,0.55,-0.17,-0.01,0.01,0.03
9.86,0.61,-0.17,-0.01,0.01,0.03
9.84,0.43,-0.12,-0.02,0.0,0.02
9.84,0.49,-0.14,-0.01,0.01,0.02
9.87,0.51,-0.16,-0.01,0.01,0.03
9.89,0.5,-0.16,-0.01,0.01,0.03
9.86,0.49,-0.19,-0.02,0.01,0.03
9.88,0.51,-0.11,-0.02,0.02,0.03
9.89,0.47,-0.13,-0.02,0.01,0.03
9.85,0.52,-0.24,-0.01,0.0,0.02
9.85,0.47,-0.13,-0.01,0.0,0.02
9.82,0.56,-0.12,-0.01,0.01,0.03
9.91,0.51,-0.14,-0.01,0.0,0.02
9.95,0.49,-0.14,-0.01,0.01,0.02
9.86,0.53,-0.22,-0.01,0.01,0.02
9.87,0.52,-0.16,-0.01,0.0,0.03
9.86,0.41,-0.14,-0.01,0.0,0.02
9.84,0.45,-0.16,-0.01,0.02,0.03
9.85,0.5,-0.17,-0.02,-0.0,0.02
9.83,0.51,-0.16,-0.01,0.01,0.03
9.87,0.51,-0.18,-0.01,0.01,0.03
9.84,0.51,-0.19,-0.01,0.01,0.03
9.88,0.56,-0.18,-0.01,0.01,0.03
9.84,0.48,-0.18,-0.01,0.0,0.03
9.85,0.5,-0.19,-0.01,0.01,0.02
9.87,0.54,-0.13,-0.01,0.01,0.03
9.89,0.5,-0.14,-0.02,0.0,0.03
9.85,0.52,-0.17,-0.01,0.01,0.03
9.88,0.45,-0.16,-0.0,0.0,0.03
9.84,0.51,-0.22,-0.01,0.0,0.02
9.82,0.49,-0.21,-0.02,0.0,0.02
9.85,0.44,-0.16,-0.01,-0.01,0.03
9.87,0.51,-0.15,-0.01,-0.01,0.01
9.86,0.55,-0.15,-0.02,0.0,0.02
9.91,0.47,-0.19,-0.01,0.0,0.03
9.76,0.51,-0.17,-0.01,0.01,0.02
9.84,0.43,-0.25,-0.02,0.02,0.03
9.82,0.5,-0.2,-0.01,0.01,0.03
9.85,0.47,-0.26,-0.01,0.0,0.02
